route_short_name,osm_transport_mode,agency_name
10,bus,Pays de l'Ourcq
11,bus,Pays de l'Ourcq
12,bus,Pays Créçois
23,bus,Pays de l'Ourcq
31,bus,Pays Fertois
31sco,bus,Pays Fertois
22,bus,Pays de l'Ourcq
19,bus,Pays Créçois
21,bus,Pays Créçois
21sco,bus,Pays Créçois
65,bus,Pays de l'Ourcq
67,bus,Pays Fertois
69,bus,Seine et Marne Express
63,bus,Pays de l'Ourcq
60,bus,Pays Créçois
61,bus,Pays de l'Ourcq
62,bus,Pays Fertois
8A,bus,Pays Créçois
8B,bus,Pays Créçois
8C,bus,Pays Créçois
73,bus,Pays Créçois
7,bus,Pays Créçois
70,bus,Pays Créçois
71,bus,Pays Créçois
52,bus,Pays de l'Ourcq
53,bus,Pays de l'Ourcq
54,bus,Pays de l'Ourcq
50,bus,Pays de l'Ourcq
49B,bus,Pays Fertois
4A,bus,Pays Créçois
4B,bus,Pays Créçois
58,bus,Pays Créçois
59,bus,Pays Créçois
6,bus,Pep's
57,bus,Pays Créçois
54bis,bus,Pays de l'Ourcq
56,bus,Pays Fertois
56sco,bus,Pays Fertois
68.14,bus,ORMONT TRANSPORT
68.16,bus,ORMONT TRANSPORT
913.07,bus,ORMONT TRANSPORT
68.13,bus,ORMONT TRANSPORT
68.08,bus,ORMONT TRANSPORT
68.09,bus,ORMONT TRANSPORT
68.100,bus,ORMONT TRANSPORT
DM02 A,bus,TRANSPORTS DANIEL MEYER
DM02 B,bus,TRANSPORTS DANIEL MEYER
DM03,bus,TRANSPORTS DANIEL MEYER
913.50,bus,ORMONT TRANSPORT
913.08,bus,ORMONT TRANSPORT
913.10,bus,ORMONT TRANSPORT
913.17,bus,ORMONT TRANSPORT
306.12,bus,ORMONT TRANSPORT
4,bus,ORMONT TRANSPORT
5,bus,ORMONT TRANSPORT
306.04,bus,ORMONT TRANSPORT
1,bus,ORMONT TRANSPORT
2,bus,ORMONT TRANSPORT
3,bus,ORMONT TRANSPORT
68.05 A,bus,ORMONT TRANSPORT
68.05 B,bus,ORMONT TRANSPORT
68.06,bus,ORMONT TRANSPORT
68.02,bus,ORMONT TRANSPORT
6,bus,ORMONT TRANSPORT
68.01,bus,ORMONT TRANSPORT
68.01S,bus,ORMONT TRANSPORT
DM17 B,bus,TRANSPORTS DANIEL MEYER
DM17 S,bus,TRANSPORTS DANIEL MEYER
DM19,bus,TRANSPORTS DANIEL MEYER
DM17 A,bus,TRANSPORTS DANIEL MEYER
DM151,bus,TRANSPORTS DANIEL MEYER
DM153,bus,TRANSPORTS DANIEL MEYER
DM16,bus,TRANSPORTS DANIEL MEYER
DM21 S,bus,TRANSPORTS DANIEL MEYER
DM22,bus,TRANSPORTS DANIEL MEYER
DM26,bus,TRANSPORTS DANIEL MEYER
DM21 B,bus,TRANSPORTS DANIEL MEYER
DM20,bus,TRANSPORTS DANIEL MEYER
DM20 S,bus,TRANSPORTS DANIEL MEYER
DM21 A,bus,TRANSPORTS DANIEL MEYER
DM08,bus,TRANSPORTS DANIEL MEYER
DM09,bus,TRANSPORTS DANIEL MEYER
DM10 A,bus,TRANSPORTS DANIEL MEYER
DM06 B,bus,TRANSPORTS DANIEL MEYER
DM04,bus,TRANSPORTS DANIEL MEYER
DM05,bus,TRANSPORTS DANIEL MEYER
DM06 A,bus,TRANSPORTS DANIEL MEYER
DM11G,bus,TRANSPORTS DANIEL MEYER
DM12,bus,TRANSPORTS DANIEL MEYER
DM13,bus,TRANSPORTS DANIEL MEYER
DM11E,bus,TRANSPORTS DANIEL MEYER
DM10 S,bus,TRANSPORTS DANIEL MEYER
DM11 A,bus,TRANSPORTS DANIEL MEYER
DM11 C,bus,TRANSPORTS DANIEL MEYER
701,bus,Autobus du Fort
702,bus,Autobus du Fort
703,bus,Autobus du Fort
501,bus,Seine Sénart Bus
4,bus,Seine Sénart Bus
19,bus,Seine Sénart Bus
BM,bus,Seine Sénart Bus
B,bus,Seine Sénart Bus
A,bus,Seine Sénart Bus
18,bus,Seine Sénart Bus
13,bus,Seine Sénart Bus
12,bus,Seine Sénart Bus
11L,bus,Seine Sénart Bus
17,bus,Seine Sénart Bus
16,bus,Seine Sénart Bus
14,bus,Seine Sénart Bus
C,bus,Seine Sénart Bus
LP1,bus,Seine Sénart Bus
LM3,bus,Seine Sénart Bus
LM2,bus,Seine Sénart Bus
RD16,bus,Seine Sénart Bus
RD15,bus,Seine Sénart Bus
LP2,bus,Seine Sénart Bus
LM1,bus,Seine Sénart Bus
F,bus,Seine Sénart Bus
E,bus,Seine Sénart Bus
D,bus,Seine Sénart Bus
Inter-Val,bus,Seine Sénart Bus
H,bus,Seine Sénart Bus
G,bus,Seine Sénart Bus
36-15,bus,CARS PERRIER
431,bus,SQYBUS
439,bus,SQYBUS
424,bus,SQYBUS
430,bus,SQYBUS
440,bus,SQYBUS
448,bus,SQYBUS
449,bus,SQYBUS
441,bus,SQYBUS
444,bus,SQYBUS
423,bus,SQYBUS
414,bus,SQYBUS
415,bus,SQYBUS
401,bus,SQYBUS
402,bus,SQYBUS
417,bus,SQYBUS
420,bus,SQYBUS
422,bus,SQYBUS
418,bus,SQYBUS
419,bus,SQYBUS
463,bus,SQYBUS
464,bus,SQYBUS
460,bus,SQYBUS
461,bus,SQYBUS
465,bus,SQYBUS
468,bus,SQYBUS
475,bus,SQYBUS
466,bus,SQYBUS
467,bus,SQYBUS
459,bus,SQYBUS
452,bus,SQYBUS
453,bus,SQYBUS
450,bus,SQYBUS
451,bus,SQYBUS
454,bus,SQYBUS
457,bus,SQYBUS
458,bus,SQYBUS
455,bus,SQYBUS
456,bus,SQYBUS
39,bus,STIVO
38,bus,STIVO
40,bus,STIVO
43,bus,STIVO
42,bus,STIVO
33,bus,STIVO
30,bus,STIVO
34,bus,STIVO
36,bus,STIVO
35,bus,STIVO
44,bus,STIVO
57,bus,STIVO
56,bus,STIVO
58,bus,STIVO
60,bus,STIVO
59,bus,STIVO
47,bus,STIVO
45,bus,STIVO
48,bus,STIVO
55,bus,STIVO
49,bus,STIVO
54,bus,Phébus
53,bus,Phébus
52,bus,Phébus
Chavil U,bus,Chavilbus
Chavil R,bus,Chavilbus
Chavil B,bus,Chavilbus
2,bus,SITUS
3,bus,SITUS
4,bus,SITUS
1,bus,SITUS
102,bus,SITUS
103,bus,SITUS
41,bus,SITUS
45,bus,SITUS
5,bus,SITUS
6,bus,SITUS
42,bus,SITUS
43,bus,SITUS
44,bus,SITUS
37E,bus,Réseau départemental de l'Oise
G2,bus,VyBus
G1,bus,VyBus
F4,bus,VyBus
H,bus,VyBus
J2,bus,STRAV
J1,bus,STRAV
I,bus,VyBus
F,bus,VyBus
C,bus,VyBus
B,bus,STRAV
A,bus,VyBus
D,bus,VyBus
E2,bus,VyBus
E1,bus,VyBus
E,bus,VyBus
K,bus,STRAV
R3,bus,VyBus
R2,bus,VyBus
R1B,bus,VyBus
S,bus,VyBus
X,bus,VyBus
V,bus,Seine-Senart Bus
U,bus,Service Urbain de Villecresnes
R1A,bus,VyBus
O1,bus,STRAV
N,bus,STRAV
M,bus,VyBus
O2,bus,STRAV
R1,bus,VyBus
QBUS,bus,VyBus
P,bus,Seine-Senart Bus
3,bus,Aérial
209,bus,Comète
4.,bus,Aérial
4,bus,Aérial
111,bus,Aérial
1,bus,Aérial
2,bus,Aérial
112,bus,Aérial
41,bus,TICE
5,bus,Aérial
46,bus,Seine et Marne Express
8,bus,Aérial
6,bus,Aérial
43,bus,TICE
42,bus,TICE
45,bus,TICE
44,bus,TICE
14B,bus,STILL
17A,bus,STILL
13C,bus,STILL
14A,bus,STILL
17B,bus,STILL
18C,bus,STILL
2,bus,STILL
18A,bus,STILL
18B,bus,STILL
11A,bus,STILL
11B,bus,STILL
1,bus,STILL
10,bus,STILL
11C,bus,STILL
13A,bus,STILL
13B,bus,STILL
11D,bus,STILL
12,bus,STILL
8A,bus,STILL
8B,bus,STILL
7C,bus,STILL
7D,bus,STILL
9A,bus,STILL
9D,bus,STILL
EXPRESS34,bus,Seine et Marne Express
9B,bus,STILL
9C,bus,STILL
207,bus,Comète
211,bus,Comète
201,bus,Comète
202,bus,Comète
3,bus,STILL
7A,bus,STILL
7B,bus,STILL
4,bus,STILL
5,bus,STILL
27,bus,Sénart-Bus
31,bus,Sénart-Bus
26,bus,Sénart-Bus
24,bus,Sénart-Bus
25,bus,Sénart-Bus
35,bus,Sénart-Bus
36,bus,Sénart-Bus
34,bus,Sénart-Bus
32,bus,Sénart-Bus
33,bus,Sénart-Bus
23,bus,Sénart-Bus
04,bus,Sénart-Bus
05,bus,Sénart-Bus
03,bus,Sénart-Bus
01,bus,Sénart-Bus
02,bus,Sénart-Bus
21,bus,Sénart-Bus
22,bus,Sénart-Bus
13,bus,Sénart-Bus
11,bus,Sénart-Bus
12,bus,Sénart-Bus
62A,bus,Sénart-Bus
62B,bus,Sénart-Bus
61B,bus,Sénart-Bus
55,bus,Sénart-Express
61A,bus,Sénart-Bus
CPSF,bus,Sénart-Bus
Tzen1,bus,Sénart-Bus
64,bus,Sénart-Bus
62C,bus,Sénart-Bus
63,bus,Sénart-Bus
54,bus,Sénart-Express
42P,bus,Sénart-Bus
43,bus,Sénart-Bus
42,bus,Sénart-Bus
37,bus,Sénart-Bus
41,bus,Sénart-Bus
52,bus,Sénart-Bus
53,bus,Sénart-Bus
51,bus,Sénart-Express
43P,bus,Sénart-Bus
50,bus,Sénart-Express
11 GARE,bus,Réseau du Canton de Perthes
109,bus,Réseau du Canton de Perthes
11A,bus,Réseau du Canton de Perthes
111,bus,Réseau du Canton de Perthes
06,bus,Arlequin
01,bus,Réseau du Canton de Perthes
101,bus,Réseau du Canton de Perthes
09,bus,Réseau du Canton de Perthes
11B,bus,Réseau du Canton de Perthes
22B,bus,Réseau du Canton de Perthes
22A,bus,Réseau du Canton de Perthes
9M,bus,Réseau du Canton de Perthes
9CC,bus,Réseau du Canton de Perthes
11CC,bus,Réseau du Canton de Perthes
11C,bus,Réseau du Canton de Perthes
21CC,bus,Réseau du Canton de Perthes
21,bus,Réseau du Canton de Perthes
Fd,bus,MELIBUS
F,bus,MELIBUS
E,bus,MELIBUS
Jd,bus,MELIBUS
J,bus,MELIBUS
G,bus,MELIBUS
C,bus,MELIBUS
B,bus,MELIBUS
A,bus,MELIBUS
D,bus,MELIBUS
CITA,bus,CITALIEN
Cd,bus,MELIBUS
S3,bus,MELIBUS
S2,bus,MELIBUS
S1,bus,MELIBUS
S6,bus,MELIBUS
S5,bus,MELIBUS
S4,bus,MELIBUS
M,bus,MELIBUS
L,bus,MELIBUS
K,bus,MELIBUS
O SCO,bus,MELIBUS
O,bus,MELIBUS
N,bus,MELIBUS
202,bus,Transdev IDF Brétigny
203,bus,Transdev IDF Brétigny
201,bus,Transdev IDF Brétigny
103,bus,Transdev IDF Brétigny
18-05,bus,Transdev IDF Brétigny
227-04,bus,Orgebus
227-06,bus,Orgebus
227-03,bus,Orgebus
227-01,bus,Orgebus
227-02,bus,Orgebus
18,bus,Dourdanais
19,bus,Rambouillet Interurbain
15,bus,Houdanais
16,bus,Houdanais
23,bus,Rambouillet Interurbain
24,bus,Rambouillet Interurbain
20,bus,Rambouillet Interurbain
22,bus,Dourdanais
04,bus,Rambouillet Interurbain
05,bus,Rambouillet Interurbain
01,bus,Rambouillet Interurbain
03,bus,Rambouillet Interurbain
11,bus,Rambouillet Interurbain
12,bus,Rambouillet Interurbain
08,bus,Rambouillet Interurbain
10,bus,Rambouillet Interurbain
25,bus,Rambouillet Interurbain
89,bus,Rambouillet Interurbain
A,bus,rbus
63,bus,Dourdanais
79,bus,Rambouillet Interurbain
D,bus,rbus
E,bus,rbus
B,bus,rbus
C,bus,rbus
30,bus,Rambouillet Interurbain
39,bus,Rambouillet Interurbain
26,bus,Rambouillet Interurbain
29,bus,Rambouillet Interurbain
61,bus,Dourdanais
62,bus,Dourdanais
49,bus,Rambouillet Interurbain
59,bus,Rambouillet Interurbain
39-103,bus,SAVAC
39-12,bus,SAVAC
39-13,bus,SAVAC
39-10,bus,SAVAC
39-07 B,bus,SAVAC
39-07 C,bus,SAVAC
39-07 D,bus,SAVAC
39-28 A,bus,SAVAC
39-28 B,bus,SAVAC
39-28 C,bus,SAVAC
39-27,bus,SAVAC
39-17,bus,SAVAC
39-18,bus,SAVAC
39-203,bus,SAVAC
39-07 A,bus,SAVAC
260,bus,SAVAC
261,bus,SAVAC
262,bus,SAVAC
13,bus,SAVAC
10,bus,SAVAC
11,bus,SAVAC
12,bus,SAVAC
39-02,bus,SAVAC
39-05,bus,SAVAC
39-07,bus,SAVAC
39-003,bus,SAVAC
263,bus,SAVAC
264,bus,SAVAC
307,bus,SAVAC
39-28 D,bus,SAVAC
39-37 C,bus,SAVAC
39-37 D,bus,SAVAC
39-37 E,bus,SAVAC
39-37 B,bus,SAVAC
39-36,bus,SAVAC
39-37 A,bus,SAVAC
39-37 AB,bus,SAVAC
39-403,bus,SAVAC
Vanves,bus,SAVAC
X,bus,Phébus
39-38,bus,SAVAC
39-37 F,bus,SAVAC
39-37 G,bus,SAVAC
39-37 H,bus,SAVAC
39-35 B,bus,SAVAC
39-29-3,bus,SAVAC
39-29-4,bus,SAVAC
39-30 A,bus,SAVAC
39-29-2,bus,SAVAC
39-28 E,bus,SAVAC
39-28 F,bus,SAVAC
39-29-1,bus,SAVAC
39-31,bus,SAVAC
39-34,bus,SAVAC
39-35 A,bus,SAVAC
39-303,bus,SAVAC
39-30 B,bus,SAVAC
39-30 C,bus,SAVAC
39-30 D,bus,SAVAC
21,bus,CSO
20,bus,CSO
23,bus,CSO
25,bus,CSO
24,bus,CSO
2,bus,CSO
10,bus,CSO
1,bus,CSO
11,bus,CSO
16,bus,CSO
14,bus,CSO
27,bus,CSO
6,bus,CSO
55,bus,CSO
7,bus,CSO
98,bus,CSO
9,bus,CSO
54,bus,CSO
4,bus,CSO
28,bus,CSO
50,bus,CSO
52,bus,CSO
51,bus,CSO
35,bus,Houdanais
31,bus,Houdanais
38,bus,Houdanais
41,bus,Houdanais
40,bus,Houdanais
17,bus,Houdanais
13,bus,Plaine de Versailles
2,bus,Houdanais
22,bus,Houdanais
21,bus,Houdanais
61,bus,Houdanais
60,bus,Houdanais
65,bus,Houdanais
9,bus,Houdanais
67,bus,Houdanais
48,bus,Houdanais
45,bus,Houdanais
501,bus,Tam Limay
55,bus,Houdanais
51,bus,Houdanais
3,bus,Express 19 Les Mureaux - Versailles
311,bus,Val de Seine
21,bus,Val de Seine
2,bus,Val de Seine
2,bus,Express 19 Les Mureaux - Versailles
33,bus,Val de Seine
34,bus,Val de Seine
32,bus,Val de Seine
312,bus,Val de Seine
313,bus,Val de Seine
19,bus,Val de Seine
14,bus,Val de Seine
17,bus,Val de Seine
13,bus,Val de Seine
10,bus,Val de Seine
12,bus,Val de Seine
17S,bus,Val de Seine
18,bus,Val de Seine
172,bus,Val de Seine
170,bus,Val de Seine
171,bus,Val de Seine
77,bus,Val de Seine
9,bus,Val de Seine
76,bus,Val de Seine
71,bus,Val de Seine
75,bus,Val de Seine
95-25,bus,Busval d'Oise
N1,bus,Express 19 Les Mureaux - Versailles
95-24,bus,Busval d'Oise
95-22,bus,Busval d'Oise
95-23,bus,Busval d'Oise
7,bus,Express 19 Les Mureaux - Versailles
43,bus,Val de Seine
5,bus,Val de Seine
42,bus,Val de Seine
4,bus,Express 19 Les Mureaux - Versailles
41,bus,Val de Seine
512,bus,Val de Seine
6,bus,Express 19 Les Mureaux - Versailles
511,bus,Val de Seine
5,bus,Express 19 Les Mureaux - Versailles
502,bus,Val de Seine
11,bus,Transdev Ile-de-France Conflans
12,bus,Transdev Ile-de-France Conflans
14,bus,Transdev Ile-de-France Conflans
06,bus,Transdev Ile-de-France Conflans
02,bus,Transdev Ile-de-France Conflans
04,bus,Transdev Ile-de-France Conflans
05,bus,Transdev Ile-de-France Conflans
9518,bus,Transdev Ile-de-France Conflans
A1,bus,Transdev Ile-de-France Conflans
A2,bus,Transdev Ile-de-France Conflans
5 S,bus,Transdev Ile-de-France Conflans
17A,bus,Transdev Ile-de-France Conflans
17B,bus,Transdev Ile-de-France Conflans
27,bus,Transdev Ile-de-France Conflans
4,bus,R'bus
34,bus,R'bus
501 Sco,bus,R'bus
5,bus,R'bus
3,bus,R'bus
17,bus,R'bus
1,bus,R'bus
2,bus,R'bus
18,bus,R'bus
G,bus,Bus en Seine
9,bus,R'bus
J,bus,Bus en Seine
H,bus,Bus en Seine
8,bus,R'bus
503 Sco,bus,R'bus
502 Sco,bus,R'bus
7,bus,R'bus
6,bus,R'bus
29,bus,Traverciel
30,bus,Traverciel
28,bus,Traverciel
06,bus,Scolaire Est Yvelines
27,bus,Traverciel
37,bus,Scolaire Est Yvelines
469,bus,Traverciel
503,bus,Scolaire Est Yvelines
460,bus,Traverciel
38,bus,Scolaire Est Yvelines
40,bus,Scolaire Est Yvelines
C,bus,Bus en Seine
B,bus,Bus en Seine
D,bus,Bus en Seine
F,bus,Bus en Seine
E,bus,Bus en Seine
A,bus,Bus en Seine
12,bus,Scolaire Est Yvelines
01,bus,Scolaire Est Yvelines
45,bus,R'bus
55,bus,Scolaire Est Yvelines
54,bus,Scolaire Est Yvelines
K,bus,Bus en Seine
S5,bus,Bus en Seine
S4,bus,Bus en Seine
S6,bus,Bus en Seine
T,bus,Bus en Seine
S7,bus,Bus en Seine
S3,bus,Bus en Seine
M,bus,Bus en Seine
L,bus,Bus en Seine
P,bus,Bus en Seine
S2,bus,Bus en Seine
S1,bus,Bus en Seine
18S,bus,Entre Seine et Forêt
18,bus,Entre Seine et Forêt
21,bus,Entre Seine et Forêt
9A,bus,Entre Seine et Forêt
21M,bus,Entre Seine et Forêt
1,bus,Express 1
08,bus,Poissy Aval
10,bus,Entre Seine et Forêt
16,bus,Express 16
15,bus,Entre Seine et Forêt
9AB,bus,Entre Seine et Forêt
R3-Sud,bus,Résalys
R3-Nord,bus,Résalys
R4,bus,Résalys
R6,bus,Résalys
R5,bus,Résalys
9D,bus,Entre Seine et Forêt
9B,bus,Entre Seine et Forêt
R1,bus,Résalys
R2-Sud,bus,Résalys
R2-Nord,bus,Résalys
DIRECT 2,bus,LE BUS DIRECT
DIRECT 1,bus,LE BUS DIRECT
25,bus,Rémi
DIRECT 3,bus,LE BUS DIRECT
TRAVERSE,bus,AUTOCARS DOMINIQUE
SAMOIS,bus,LOSAY VOYAGES
DIRECT 4,bus,LE BUS DIRECT
13,bus,Brie Bus
12,bus,Arlequin
10,bus,Arlequin
7,bus,Arlequin
23,bus,Plateau de Brie
21,bus,Arlequin
208,bus,Comète
206,bus,Comète
A,bus,Siyonne
210,bus,Comète
203,bus,Comète
19,bus,STILL
205,bus,Comète
204,bus,Comète
B,bus,Siyonne
G,bus,Siyonne
F,bus,Siyonne
L,bus,Siyonne
I,bus,Siyonne
Ea,bus,Siyonne
C,bus,Siyonne
Emplet,bus,Siyonne
Eb,bus,Siyonne
23,bus,Trans Val d'Oise
24,bus,Trans Val d'Oise
20,bus,Trans Val d'Oise
22,bus,Trans Val d'Oise
24sco,bus,Trans Val d'Oise
36,bus,Trans Val d'Oise
37,bus,Trans Val d'Oise
25,bus,Trans Val d'Oise
35,bus,Trans Val d'Oise
407,bus,TICE
406,bus,TICE
409,bus,TICE
408,bus,TICE
405,bus,TICE
402,bus,TICE
401,bus,TICE
404,bus,TICE
403,bus,TICE
412,bus,TICE
420,bus,TICE
419,bus,TICE
510,bus,TICE
453,bus,TICE
418,bus,TICE
414,bus,TICE
413,bus,TICE
416,bus,TICE
415,bus,TICE
19,bus,Seine et Marne Express
18,bus,Seine et Marne Express
17,bus,Sol'R
23,bus,Pep's
22,bus,Pep's
21,bus,Pep's
07,bus,Pep's
04,bus,Pep's
02,bus,Pep's
15,bus,Pep's
13,bus,Pep's
12,bus,Pep's
24,bus,Pep's
43,bus,Pep's
42,bus,Pep's
37,bus,Pep's
47,bus,Pep's
46,bus,Pep's
44,bus,Pep's
29,bus,Pep's
26,bus,Pep's
25,bus,Pep's
35,bus,Pep's
34,bus,Pep's
32,bus,Pep's
38,bus,CIF
46,bus,CIF
34,bus,CIF
32ZA,bus,CIF
33,bus,CIF
47,bus,CIF
95-02,bus,Busval d'Oise
FLEXO,bus,CIF
95-01,bus,Busval d'Oise
49,bus,CIF
50,bus,CIF
32A,bus,CIF
12.1,bus,CIF
12ZI,bus,CIF
12,bus,CIF
11,bus,CIF
11.5,bus,CIF
14,bus,CIF
31,bus,CIF
32,bus,CIF
30D,bus,CIF
14.1,bus,CIF
30B,bus,CIF
R3,bus,CIF
R4,bus,CIF
R2,bus,CIF
R114,bus,CIF
R117,bus,CIF
R48,bus,CIF
R8,bus,CIF
Vitavil,bus,CIF
R7,bus,CIF
R5,bus,CIF
R6,bus,CIF
R113,bus,CIF
R105,bus,CIF
R106,bus,CIF
R104,bus,CIF
G'bus,bus,CIF
R1,bus,CIF
R107,bus,CIF
R111,bus,CIF
R112,bus,CIF
R110,bus,CIF
R108,bus,CIF
R109,bus,CIF
19,bus,CIF
18,bus,CIF
21,bus,CIF
23,bus,CIF
22,bus,CIF
171,bus,CIF
116,bus,CIF
1,bus,CIF
15,bus,CIF
17,bus,CIF
16,bus,CIF
45,bus,CIF
44,bus,CIF
71,bus,CIF
T'bus,bus,CIF
93,bus,CIF
43,bus,CIF
39,bus,CIF
24,bus,CIF
3A,bus,CIF
40,bus,CIF
3B,bus,CIF
708,bus,Goëlys
707,bus,Goëlys
709,bus,Goëlys
711,bus,Goëlys
710,bus,Goëlys
702,bus,Goëlys
701,bus,Goëlys
703,bus,Goëlys
705,bus,Goëlys
704,bus,Goëlys
714,bus,Goëlys
753,bus,Goëlys
752,bus,Goëlys
755,bus,Goëlys
777,bus,CIF
756,bus,Goëlys
749 B,bus,Goëlys
715,bus,Goëlys
749 C,bus,Goëlys
751,bus,Goëlys
749 D,bus,Goëlys
A,bus,Bus Haut Val d'Oise
B,bus,Bus Haut Val d'Oise
95-10,bus,Busval d'Oise
2,bus,KVO
95-09,bus,Busval d'Oise
F,bus,Bus Haut Val d'Oise
G,bus,Bus Haut Val d'Oise
E,bus,Bus Haut Val d'Oise
C,bus,Bus Haut Val d'Oise
DIM,bus,Bus Haut Val d'Oise
3,bus,Keolis Seine Val-De-Marne
2,bus,Keolis Seine Val-De-Marne
10,bus,Keolis Seine Val-De-Marne
LIC,bus,Keolis Seine Val-De-Marne
9,bus,Keolis Seine Val-De-Marne
8,bus,Keolis Seine Val-De-Marne
230,bus,Trans'Essonne
229,bus,Trans'Essonne
231,bus,Trans'Essonne
24-10,bus,Trans'Essonne
24-06,bus,Trans'Essonne
208,bus,Trans'Essonne
207,bus,Trans'Essonne
209,bus,Trans'Essonne
228,bus,Trans'Essonne
227,bus,Trans'Essonne
312,bus,Seine Essonne Bus
305,bus,Seine Essonne Bus
313,bus,Seine Essonne Bus
FLEXO,bus,Trans'Essonne
314,bus,Seine Essonne Bus
301,bus,Seine Essonne Bus
300,bus,Seine Essonne Bus
302,bus,Seine Essonne Bus
304,bus,Seine Essonne Bus
303,bus,Seine Essonne Bus
Hex,bus,Phébus
I,bus,Phébus
GHP,bus,Phébus
H,bus,Phébus
ISDM,bus,Phébus
J,bus,Phébus
ILAB,bus,Phébus
ILFA,bus,Phébus
G,bus,Phébus
B,bus,Phébus
BAK,bus,Phébus
A,bus,Phébus
ARC,bus,Phébus
E,bus,Phébus
F,bus,Phébus
C,bus,Phébus
D,bus,Phébus
S,bus,Phébus
Tex,bus,Phébus
P,bus,Phébus
R,bus,Phébus
W,bus,Phébus
Z,bus,Phébus
U,bus,Phébus
V,bus,Phébus
O,bus,Phébus
L,bus,Phébus
LLFA,bus,Phébus
JLB,bus,Phébus
K,bus,Phébus
Nuit 1,bus,Phébus
Nuit 3,bus,Phébus
M,bus,Phébus
N,bus,Phébus
N144,bus,Noctilien
N145,bus,Noctilien
N142,bus,Noctilien
N143,bus,Noctilien
N152,bus,Noctilien
N154,bus,Noctilien
N150,bus,Noctilien
N151,bus,Noctilien
N132,bus,Noctilien
N133,bus,Noctilien
N130,bus,Noctilien
N131,bus,Noctilien
N140,bus,Noctilien
N141,bus,Noctilien
N134,bus,Noctilien
N135,bus,Noctilien
D,bus,RER
J,bus,TRAIN
P,bus,TRAIN
